final_star,tries_until_dropout,dropout,union_segment,policy,total_fails,total_destroy,max_consecutive_fail,threshold
20,29,1,low_union,advantage,23,1,8,177.70527117066203
19,22,1,low_union,baseline,17,2,10,190.09974557960913
19,29,1,low_union,advantage,23,2,9,197.31510388340243
15,10,1,low_union,baseline,10,0,10,155.99407185888447
23,42,1,low_union,advantage,31,3,7,173.30997528318102
17,13,1,low_union,baseline,11,0,11,170.50109377678086
21,35,1,low_union,advantage,27,2,8,166.93341534852576
18,21,1,low_union,baseline,16,2,11,215.30908480562192
18,19,1,low_union,advantage,16,0,11,188.0996342192191
18,18,1,low_union,baseline,14,1,10,154.7823209132991
23,38,1,low_union,advantage,30,0,7,198.35723894109552
17,27,1,low_union,baseline,21,4,10,222.44312394025266
23,50,1,low_union,advantage,38,4,8,200.64930521102295
16,17,1,low_union,baseline,14,2,10,149.61260068091974
19,24,1,low_union,advantage,19,1,9,170.31531854267496
18,35,1,low_union,baseline,29,3,7,205.33822298373246
23,32,1,low_union,advantage,23,1,9,165.84661068762438
19,32,1,low_union,baseline,26,2,9,188.87638856292457
17,20,1,low_union,advantage,17,1,11,195.49268106858673
20,26,1,low_union,baseline,19,2,7,161.46139056843833
26,42,1,low_union,advantage,30,1,8,178.809492878764
18,14,1,low_union,baseline,11,0,9,115.17465319861854
22,32,1,low_union,advantage,23,2,7,159.5122471733142
21,45,1,low_union,baseline,35,4,7,174.9486369721368
23,48,1,low_union,advantage,35,5,7,155.044336360703
19,23,1,low_union,baseline,19,0,11,212.64822607863272
17,15,1,low_union,advantage,13,0,10,151.39717244078736
17,29,1,low_union,baseline,25,2,8,171.19911026606033
24,35,1,low_union,advantage,26,0,8,182.61481154572184
17,24,1,low_union,baseline,21,1,8,208.82546578132232
20,37,1,low_union,advantage,27,5,8,151.2827569764112
20,27,1,low_union,baseline,22,0,10,203.26327504309918
17,24,1,low_union,advantage,20,2,9,180.20466122039173
21,32,1,low_union,baseline,25,1,9,160.36982697904097
26,49,1,low_union,advantage,35,3,7,189.2420694852654
20,23,1,low_union,baseline,18,0,10,183.9811939114694
23,30,1,low_union,advantage,22,0,9,167.9956624568241
15,11,1,low_union,baseline,11,0,11,181.39604169980038
17,16,1,low_union,advantage,14,0,11,172.29372806276479
21,40,1,low_union,baseline,31,3,9,182.27034690502495
18,25,1,low_union,advantage,20,2,10,193.24261349042092
19,27,1,low_union,baseline,23,0,10,211.72033632290703
23,34,1,low_union,advantage,25,1,9,155.24369002346302
21,25,1,low_union,baseline,18,1,11,222.66066749312535
21,30,1,low_union,advantage,23,1,7,140.95824400954996
17,16,1,low_union,baseline,14,2,10,176.96429809928833
18,26,1,low_union,advantage,22,1,10,191.76634412969153
21,33,1,low_union,baseline,25,2,9,185.61983735470065
26,53,1,low_union,advantage,37,5,8,167.54600960358812
21,45,1,low_union,baseline,31,8,7,175.8375549928545
18,17,1,low_union,advantage,13,1,10,170.13998130682336
16,16,1,low_union,baseline,14,1,10,168.21270486111578
21,26,1,low_union,advantage,20,0,10,196.9920419404205
22,36,1,low_union,baseline,27,3,8,187.14030971930094
19,26,1,low_union,advantage,21,1,9,166.1418080947869
21,26,1,low_union,baseline,20,0,10,197.991997508665
17,23,1,low_union,advantage,20,1,9,186.14599041753218
16,17,1,low_union,baseline,16,1,10,196.2572423767792
18,23,1,low_union,advantage,19,1,10,192.59257683847224
21,37,1,low_union,baseline,28,3,8,163.42009978155855
18,25,1,low_union,advantage,21,1,9,168.7963791960606
17,21,1,low_union,baseline,18,1,9,194.94587210246524
17,33,1,low_union,advantage,26,5,8,192.2074053086693
18,25,1,low_union,baseline,21,1,10,179.58196812071705
17,16,1,low_union,advantage,14,0,10,182.34654766617564
17,18,1,low_union,baseline,16,0,11,205.5532979157685
21,32,1,low_union,advantage,24,2,9,168.1685722232834
21,30,1,low_union,baseline,24,0,10,190.94194762340075
21,33,1,low_union,advantage,26,1,8,175.95614695132213
18,23,1,low_union,baseline,17,3,10,175.64637593545558
17,22,1,low_union,advantage,20,0,9,201.9755370397438
19,29,1,low_union,baseline,25,0,8,196.5083269797606
21,49,1,low_union,advantage,36,7,7,196.27019272001277
19,36,1,low_union,baseline,28,4,8,206.10957614308657
18,17,1,low_union,advantage,14,0,10,180.42007683265518
25,48,1,low_union,baseline,37,1,7,193.6390594258993
18,28,1,low_union,advantage,23,2,8,173.79466486813087
24,37,1,low_union,baseline,27,1,9,186.48332704976883
23,40,1,low_union,advantage,31,1,7,177.3971389126463
22,47,1,low_union,baseline,36,4,6,181.93991929985435
21,27,1,low_union,advantage,20,1,10,191.90314050873826
17,28,1,low_union,baseline,23,3,8,163.63558633533054
20,39,1,low_union,advantage,32,2,7,221.8477455137092
18,22,1,low_union,baseline,18,1,9,159.87965237000597
17,18,1,low_union,advantage,16,0,9,155.71622774424537
19,29,1,low_union,baseline,24,1,10,203.16221747000137
22,48,1,low_union,advantage,37,4,7,195.8332538792587
22,40,1,low_union,baseline,29,4,7,192.4823963410431
22,39,1,low_union,advantage,30,2,8,192.5669101852856
18,26,1,low_union,baseline,22,1,8,179.7550645430617
17,13,1,low_union,advantage,11,0,10,162.05491257028336
24,43,1,low_union,baseline,32,2,8,181.51609116387453
27,43,0,low_union,advantage,30,1,6,166.45676576975777
20,39,1,low_union,baseline,28,6,7,199.502394668355
21,29,1,low_union,advantage,23,0,9,177.05885236995724
19,28,1,low_union,baseline,23,1,9,163.49005606414977
21,35,1,low_union,advantage,27,2,7,173.57228316694014
19,33,1,low_union,baseline,24,5,8,188.2586290855125
21,29,1,low_union,advantage,22,1,8,168.72550894392052
19,28,1,low_union,baseline,23,1,8,163.55559208867137
19,25,1,low_union,advantage,21,0,10,184.87374422983825
17,17,1,low_union,baseline,15,0,10,184.89933142217444
17,13,1,low_union,advantage,11,0,11,169.8611364925774
19,23,1,low_union,baseline,19,0,9,170.57923388763354
25,42,1,low_union,advantage,30,2,8,184.64099874715274
20,34,1,low_union,baseline,27,2,7,151.03831317005353
16,13,1,low_union,advantage,12,0,10,151.8507245124689
23,47,1,low_union,baseline,35,4,7,165.63111557495128
27,36,0,low_union,advantage,24,0,7,175.73105696576306
19,27,1,low_union,baseline,23,0,8,186.2181513119601
17,19,1,low_union,advantage,17,0,9,209.50712433899105
23,38,1,low_union,baseline,28,2,8,197.1531924640404
18,23,1,low_union,advantage,19,1,8,176.80122940073147
18,34,1,low_union,baseline,27,4,8,179.61967584194622
18,22,1,low_union,advantage,18,1,8,159.94941270724382
17,16,1,low_union,baseline,13,1,11,179.6297372801522
23,36,1,low_union,advantage,25,3,8,174.22682722159723
17,18,1,low_union,baseline,16,0,11,186.45437120676178
18,22,1,low_union,advantage,18,1,9,163.45538112895355
19,24,1,low_union,baseline,17,3,10,190.38693028482345
27,41,0,low_union,advantage,28,1,6,210.65477826005156
16,14,1,low_union,baseline,12,1,11,177.82479703086284
17,21,1,low_union,advantage,19,0,9,188.03423444197884
18,20,1,low_union,baseline,17,0,11,193.80287983422224
23,43,1,low_union,advantage,33,2,8,171.9755905622833
17,25,1,low_union,baseline,21,2,10,184.48184963620832
20,41,1,low_union,advantage,32,4,7,180.2518480156359
17,17,1,low_union,baseline,14,1,11,181.95352197097662
21,34,1,low_union,advantage,26,2,7,164.53980432289066
19,30,1,low_union,baseline,26,1,7,180.49020348517885
17,16,1,low_union,advantage,14,0,11,189.959965824909
22,42,1,low_union,baseline,33,2,8,209.02287215590084
18,22,1,low_union,advantage,18,1,11,199.18541652170413
17,24,1,low_union,baseline,20,2,10,223.06364915023113
22,41,1,low_union,advantage,30,4,6,164.653048742239
17,19,1,low_union,baseline,17,0,11,197.44641273441357
21,36,1,low_union,advantage,27,3,8,183.66684011476704
21,43,1,low_union,baseline,31,6,9,223.79605866435344
24,46,1,low_union,advantage,35,2,6,163.83403429289697
22,40,1,low_union,baseline,28,5,7,163.20556315638447
22,40,1,low_union,advantage,30,3,7,168.01214709111954
21,35,1,low_union,baseline,25,4,7,137.52208551380386
22,35,1,low_union,advantage,26,2,8,169.48489956638477
20,34,1,low_union,baseline,28,1,7,164.81734676892603
22,33,1,low_union,advantage,25,1,8,183.00787572952416
18,33,1,low_union,baseline,27,3,8,186.8351195155432
18,19,1,low_union,advantage,15,1,11,217.52341678431773
18,24,1,low_union,baseline,21,0,10,199.008476763721
